location,fuzzy,msgid,msgstr
forms/application_forms.py:2123,No,Plagiarism,Plagiat
forms/application_forms.py:2133; templates-v2/_application-form/includes/_fieldset_editorial.html:6; templates-v2/public/_application-form/includes/_pagination_menu.html:14; templates-v2/public/public_application.html:18,No,Editorial,Informations générales
forms/application_forms.py:2158,No,Publication fee waivers,Exonération des frais de publication
forms/application_forms.py:2178,No,Archiving policy,Politique d’archivage
forms/application_forms.py:2190,No,Repository policy,Politique de dépôt
forms/application_forms.py:2201,No,Unique identifiers & structured data,Identifiants uniques et données structurées
forms/application_forms.py:2211,No,Specify labels for this journal,
forms/application_forms.py:2221,No,Quick reject,
forms/application_forms.py:2231,No,Re-assign publisher account,
forms/application_forms.py:2240,No,Status,
forms/application_forms.py:2249,No,Assign for review,
forms/application_forms.py:2260,No,Continuations,
forms/application_forms.py:2271,No,Subject classification,
forms/application_forms.py:2304,No,Bulk edit,
forms/application_forms.py:2647,No,No editor assigned,
forms/validate.py:141,No,Invalid URL.,
forms/validate.py:209,No,Invalid input.,
forms/validate.py:588,No,This field is required.,
templates-v2/_application-form/includes/_fieldset_best-practice.html:6; templates-v2/public/_application-form/includes/_pagination_menu.html:20; templates-v2/public/public_application.html:20,No,Best practice,Pratiques exemplaires
templates-v2/_application-form/includes/_fieldset_business-model.html:6,No,Business Model,Modèle économique
templates-v2/_application-form/includes/_fieldset_copyright-licensing.html:6; templates-v2/public/_application-form/includes/_pagination_menu.html:11; templates-v2/public/public_application.html:17,No,Copyright & licensing,Droit d’auteur et conditions d'utilisation
templates-v2/_application-form/includes/_fieldset_oa_compliance.html:7,No,"You are now logged in. When you submit your application, it will be registered to this account. Please note:","Vous êtes maintenant connecté à votre compte. Lorsque vous soumetterez votre candidature, elle sera enregistrée sur ce compte. Veuillez noter que :"
templates-v2/_application-form/includes/_fieldset_oa_compliance.html:9,No,The application form takes approximately%(tag_start)s 30 minutes%(tag_end)s to complete.,Il faut environ%(tag_start)s 30 minutes%(tag_end)s pour compléter le formulaire de candidature.
templates-v2/_application-form/includes/_fieldset_oa_compliance.html:11,No,Your progress is automatically saved.,Votre progression sera automatiquement sauvegardée.
templates-v2/_application-form/includes/_fieldset_oa_compliance.html:12,No,You can return to this application at any time by clicking%(link_start)s Publisher dashboard%(link_end)s at the top.,Vous pourrez revenir à ce formulaire à tout moment en cliquant sur %(link_start)sPublisher dashboard%(link_end)s (Mon compte → Éditeur) en haut de la page
templates-v2/_application-form/includes/_fieldset_oa_compliance.html:15; templates-v2/public/account/login_to_apply.html:15,No,You can %(start_url)s print or download %(end_url)s a PDF list of the questions.,
templates-v2/_application-form/includes/_fieldset_oa_compliance.html:18,No,You must apply online.,Vous devez soumettre votre candidature avec le formulaire en ligne.
templates-v2/_application-form/includes/_fieldset_oa_compliance.html:23,No,DOAJ only accepts fully open access journals,DOAJ n'accepte que les revues pleinement en libre accès
templates-v2/_application-form/includes/_fieldset_oa_compliance.html:25,No,"Open Access is the condition where the copyright holder of a scholarly work grants usage rights to others using an\n    open license (Creative Commons or equivalent) allowing for immediate free access to the work and permitting any user\n    to read, download, copy, distribute, print, search, or link to the full texts of articles, crawl them for indexing,\n    pass them as data to software, or use them for any other lawful purpose.","Le libre accès désigne la situation où les titulaires des droits d'auteur sur les articles accordent certains droits d’utilisation à des tiers au moyen d’une licence ouverte (telle que Creative Commons ou un équivalent). Une licence ouverte offre un accès gratuit et immédiat aux articles et permet à toute personne de lire, télécharger, copier, transmettre, imprimer, chercher ou faire un lien vers le texte intégral de ces articles, les disséquer pour les indexer, s’en servir de données pour un logiciel, ou s’en servir à toute autre fin légale."
templates-v2/public/public_application.html:16,No,About the Journal,À propos de la revue
templates-v2/public/_application-form/includes/_pagination_menu.html:17; templates-v2/public/public_application.html:19,No,Business model,Modèle économique
templates-v2/public/_application-form/includes/_aside_menu.html:2; templates-v2/public/account/login_to_apply.html:45,No,Related help,Aide associée
templates-v2/public/_application-form/includes/_aside_menu.html:5; templates-v2/public/account/login_to_apply.html:48,No,Guide to applying,Guide pour postuler
templates-v2/public/_application-form/includes/_aside_menu.html:8; templates-v2/public/account/login_to_apply.html:51,No,Information for publishers,Informations pour les éditeurs
templates-v2/public/_application-form/includes/_aside_menu.html:11; templates-v2/public/account/login_to_apply.html:54,No,Transparency & best practice,Transparence et bonnes pratiques
templates-v2/public/_application-form/includes/_aside_menu.html:14; templates-v2/public/account/login_to_apply.html:57,No,Why index your journal in DOAJ?,Pourquoi indexer votre revue dans DOAJ ?
templates-v2/public/_application-form/includes/_pagination_menu.html:2,No,Application progress,Frais de publication
templates-v2/public/_application-form/includes/_pagination_menu.html:8,No,About,
templates-v2/public/_application-form/includes/_pagination_menu.html:23; templates-v2/public/_application-form/includes/_review.html:10,No,Review your answers,
templates-v2/public/_application-form/includes/_review.html:21,No,I’ve reviewed the answers to my application and confirm that the information provided is accurate and true.,
templates-v2/public/account/login_to_apply.html:3,No,Login to apply,Guide pour postuler
templates-v2/public/account/login_to_apply.html:12,No,"Read our%(link_start)s Guide to applying%(link_end)s first. It will help you understand the basic criteria that your journal should meet. If you need help with the application form, please%(contact_link)s contact us%(contact_link_end)s.",
templates-v2/public/account/login_to_apply.html:19,No,Log in or register to submit your application.,
templates-v2/public/account/login_to_apply.html:23,No,Log in to your account,
templates-v2/public/account/login_to_apply.html:25,No,Don’t have an account? %(url)sRegister here%(url_end)s.,
templates-v2/public/account/login_to_apply.html:27,No,"If you cannot log in, %(forgot_account)sreset your password%(link_end)s. If you still cannot login,%(contact_link)s contact us%(contact_link_end)s.",
